    92.50           3.94695         0.0944026         0.0220024
    97.50           3.79938          0.110355          0.020865

  ----   l-/lep. eta    ----

    -4.75           23.4536          0.961204          0.315071
    -4.25           39.5951          0.754039          0.523256
    -3.75           59.0375          0.836035          0.675481
    -3.25           89.2789          0.786842          0.813334
    -2.75           104.812          0.802888          0.832578
    -2.25           119.082          0.805261          0.836326
    -1.75           128.368           1.00179          0.890856
    -1.25           135.449          0.860682           1.02025
    -0.75           139.931          0.908607           1.15368
    -0.25           144.198          0.698637           1.27576
     0.25           145.546          0.778555           1.28944
     0.75           139.583          0.975282           1.18278
     1.25           137.805          0.775057           1.03328
     1.75           129.891           0.77163          0.905082
     2.25           120.156          0.784519          0.836436
     2.75           106.696          0.834372           0.84041
     3.25           87.2186          0.707582          0.802845
     3.75           62.2059          0.737407          0.686678
     4.25           36.7378          0.720223          0.536094
     4.75            30.361           1.13108          0.333485

  ----   l+/neu. pT     ----

     2.50           30.0966          0.956867          0.253146
     7.50           61.9066           1.85137          0.496836
    12.50            70.734           2.92457          0.671614
    17.50           110.501            2.5107          0.967235
    22.50           150.599           2.95049           1.27397
    27.50           211.498           2.83201           1.63127
    32.50           243.024           2.87027           1.80714
    37.50            280.34           3.38449            2.2246
    42.50           315.575           3.61078           3.04765
    47.50           225.722            3.0433           1.68187
    52.50           89.4521          0.657591          0.448902
    57.50           45.2896          0.439759          0.213071
    62.50           27.0289            0.3686          0.123985
    67.50           18.7692          0.354497         0.0851676
    72.50           13.3409          0.194488         0.0615693
    77.50           8.89547          0.208445         0.0391499
    82.50           6.76431          0.131799         0.0319737
    87.50           5.10891         0.0982485         0.0215862
    92.50           4.25948          0.126743         0.0191954
    97.50           3.17346         0.0910951         0.0130779

  ----   l+/neu. eta    ----

    -4.75           18.1353          0.739189          0.303372
    -4.25           31.7021          0.712079          0.406646
    -3.75           51.7783          0.811649           0.57742
    -3.25           77.2001          0.689673          0.717227
    -2.75           106.699          0.865111          0.831176
    -2.25           123.292           0.70445           0.89337
    -1.75           136.284          0.784173          0.984376
    -1.25           137.443            1.2695           1.05988
    -0.75           147.809          0.829726           1.23012
    -0.25           151.946          0.774677           1.32342
     0.25           149.275           0.81701           1.31608
     0.75           149.747          0.868739           1.24569
     1.25           143.885          0.809064           1.11076
     1.75           137.816          0.828233          0.998685
     2.25           123.173          0.800399           0.88985
     2.75           107.046           0.79069          0.825026
     3.25           78.6221          0.654692          0.739808
     3.75           53.3496          0.693861          0.572604
     4.25           33.1649            0.5878          0.440029
     4.75           20.6543          0.881487          0.298176

  ----   jet 1 pT       ----

     2.50          -309.275           2.06969           7.07052
     7.50           891.228           2.00057           5.59046
    12.50           444.341          0.970366            2.4514
    17.50           266.516          0.653282            1.3602
    22.50           173.397          0.508238          0.859404
    27.50            122.84           0.42953          0.590266
    32.50           90.2316          0.376379           0.42407
    37.50           68.2095          0.343279          0.317557
    42.50           52.5954          0.333998          0.245917
    47.50           42.0467           0.32948          0.196503
    52.50           34.1697          0.311392           0.15926
    57.50           27.6384          0.304381          0.126982
    62.50           23.3742          0.301488          0.105946
    67.50           18.9788          0.252673         0.0870847
    72.50           16.6364          0.237898         0.0788377
    77.50           13.0182          0.223406         0.0597396
    82.50           10.8177          0.146119         0.0482935
    87.50           9.27332          0.189976          0.043841
    92.50           8.40711          0.127251         0.0356178
    97.50           6.63695         0.0996399         0.0309554

  ----   jet 1 eta      ----

    -4.75           76667.3             14431           598.512
    -4.25            129030           13824.5           928.844
    -3.75            116013           12373.5           765.589
    -3.25            123089           13870.3           830.728
    -2.75            111633           12630.3            735.91
    -2.25           69674.9           13354.7           471.445
    -1.75           95775.5           13086.1           696.962
    -1.25           93603.3           12606.6            588.44
    -0.75            171681           12923.2            1112.5
    -0.25           81011.5           12204.9           525.392
     0.25            160431           13607.3           1035.32
     0.75            160297           12616.1           1056.68
     1.25           59193.3           12707.9           409.393
     1.75            125476           12593.8           808.854
     2.25            111110           12350.6           712.063
     2.75           88572.3             12302           617.007
     3.25           81666.1           13518.7           616.878
